ticker,miss_rate
A,0.0164168817221536
AA,0.0041249824856381
AAL,0.0008174962292609
AAPL,-0.000267149673276
ABBV,0.002686509470429
ABEV,0.0106506572446627
ABNB,0.0010080250538265
ABT,0.0029290290177974
ACB,0.013558927844642
ACI,0.0375916766160668
ACN,0.0081909814323607
ADBE,0.0050929413713326
ADI,0.0077083366727042
ADM,0.0060402541127692
ADP,0.0136972980482045
ADSK,0.0175698997120126
AEE,0.0330218368142936
AEM,0.0139109726400229
AEO,0.008785609185421
AEP,0.0084392581787872
AES,0.0090542367266684
AFL,0.0101068064393756
AFRM,0.002664787219761
AG,0.0471926961926961
AI,0.005721174209103
AIG,0.0024652571849904
AKAM,0.0246285283793098
ALL,0.0108110129781311
ALLY,0.0108646827624929
AMAT,0.0013720807219452
AMCR,0.0052183665391212
AMD,0.0015435908121884
AMGN,0.0033901293538718
AMT,0.0133213404952535
AMX,0.0310253368616357
AMZN,0.0024946436490508
ANF,0.0194105609608838
APA,0.003608123487265
APP,0.0408317787775704
APTV,0.0326300031779484
AR,0.0184247246385417
ARCC,0.0364899843971247
ARM,0.0062310449407223
ARRY,0.011042735042735
ASAN,0.0228652926021346
ASO,0.0359404783865215
ATI,0.0296712456120665
ATUS,0.0275764596848934
AU,0.0225146827102133
AVGO,0.0126343571893049
AVTR,0.0169031194411904
AXP,0.0036444558428304
AXTA,0.0376943005181347
AZN,0.0218471755948036
BA,0.0023744262960766
BABA,0.0006350347471842
BAC,0.0004749921190846
BALL,0.0483161556093416
BAX,0.0065184520279332
BB,0.0094466936572199
BBBY,0.0073644315516877
BBD,0.0085541708446736
BBWI,0.0092468252809808
BBY,0.0040157938886841
BCS,0.0493929952728835
BDX,0.0420579073631792
BE,0.0446201946201946
BEKE,0.0078516420288572
BEN,0.0210519285534913
BHC,0.0290382323278628
BHP,0.0107821303834593
BIDU,0.0152820512820512
BIIB,0.0321510120050265
BILI,0.0127855795430726
BJ,0.0418127693768719
BK,0.0036003146741401
BKR,0.0030281865027628
BMBL,0.0240729252826027
BMY,0.0023300794503128
BP,0.0024546035222191
BRK.B,0.0458362235770873
BSX,0.0032106047734303
BWA,0.0476071403764672
BX,0.0135072602521142
BYND,0.0152320158187718
C,0.001562812903019
CAG,0.009003478288746
CAH,0.010938710521957
CARR,0.0090800951625693
CAT,0.0028269778426061
CAVA,0.0495616211745244
CB,0.0226333884471039
CBRE,0.0332814167459837
CC,0.0319044913227738
CCI,0.0275383226206313
CCJ,0.0257204077734803
CCL,0.0055609875989122
CDE,0.0217358779740184
CDNS,0.0313239483827718
CEG,0.041300883673765
CF,0.0448601145781188
CFG,0.0079180708700061
CFLT,0.0254994494258298
CGC,0.0050958845076491
CHKP,0.0457903740818015
CHRW,0.037676010669193
CHWY,0.0064003351191657
CI,0.0284462584205209
CIEN,0.0183224020341722
CL,0.0063039052942042
CLF,0.0315504926671031
CLOV,0.0129408618326479
CLX,0.0455929011264588
CMA,0.0289823289625309
CMCSA,0.0014269832325662
CMI,0.0444298920244277
CMS,0.0276314921137728
CNI,0.0362143747908872
CNP,0.0206899877658143
CNQ,0.0084186840471757
CNX,0.0195843422729188
COF,0.0076836777688094
COHR,0.0204693611473272
COIN,0.0004602235371465
COP,0.0025382127936077
COR,0.0332724232078264
COST,0.0071333868535007
COTY,0.0454567247760965
CPB,0.0276934245059369
CPNG,0.0020618921308576
CPRI,0.0174892496192135
CRBG,0.0449801898781491
CRM,0.0280102085899774
CRWD,0.0052668647518433
CSCO,0.0008848209798516
CSX,0.0093071186716009
CTRA,0.0085311128229582
CTSH,0.0109132997273959
CTVA,0.0099623118314706
CVE,0.0286089238845144
CVS,0.0039799176603769
CVX,0.0023265258466208
CX,0.0153762593706727
D,0.0087560976912924
DAL,0.0033630974163799
DASH,0.0074512103737008
DBRG,0.0475336990262363
DBX,0.0082954208718994
DD,0.0061433447098976
DDD,0.0402020397001576
DDOG,0.0070559610705596
DE,0.0115862813299779
DELL,0.0129366987179486
DFS,0.0082675713548197
DG,0.0279209455531873
DHI,0.0065296723142107
DHR,0.0110049636409295
DINO,0.0098075916757235
DIS,0.0020314061155902
DKS,0.0292669388339779
DLTR,0.0153311079087697
DNA,0.0325336561388063
DOCS,0.0346350479786062
DOCU,0.0140130774546807
DOW,0.0030987273832735
DRI,0.0308039602267566
DT,0.028259587020649
DUK,0.0048321438012159
DVN,0.0029220831262923
DXC,0.0352297008547008
EA,0.0076235666271253
EBAY,0.0012769754382589
ECL,0.0495466470044506
ED,0.0168395125052761
EGO,0.0404297623173601
EIX,0.0160895003162555
EL,0.0270173807577432
ELAN,0.0196327199298967
ELV,0.0315199075341423
EMN,0.0494766537900523
EMR,0.0061572656696641
ENVX,0.041205648225929
EOG,0.005575413681269
EPD,0.0225082712985938
EQH,0.0240808102421454
EQNR,0.0403110550651534
EQR,0.022102895368159
EQT,0.0284241909372144
ERIC,0.0312825287685623
ES,0.0247507976524763
ETN,0.0109280479558455
ETR,0.0333653912941264
ETRN,0.0235325039425267
ETSY,0.031785130292593
EXC,0.0039837359278909
EXPD,0.0416332016587716
EXPE,0.015809391411801
F,0.0010247861466865
FAST,0.0218977244190829
FCX,0.0028312522373785
FDX,0.013219634432387
FE,0.0117219933640021
FHN,0.0316625792766654
FI,0.0342785088773835
FIGS,0.0253773548855515
FIS,0.0316828374482449
FITB,0.0025054005823236
FL,0.023317892082218
FLEX,0.0163896324554795
FLR,0.0320734554741639
FNF,0.0465328510719572
FOX,0.0419090764584326
FOXA,0.0055279400190547
FRSH,0.0430943068231204
