ticker,miss_rate
MMM,0.005295440823675834
AOS,0.13796082705173618
ABT,0.0029290290177974576
ABBV,0.0026865094704290327
ACN,0.008190981432360744
ADBE,0.005092941371332649
AMD,0.0015435908121884667
AES,0.009054236726668496
AFL,0.01010680643937567
A,0.01641688172215361
APD,0.05067882731979423
ABNB,0.0010080250538265778
AKAM,0.024628528379309844
ALB,0.08292379288420126
ARE,0.18925951453561374
ALGN,0.11305958572862485
ALLE,0.14512980519220764
LNT,0.08544034280646073
ALL,0.01081101297813114
GOOGL,0.01684274237922312
GOOG,0.017194821570733265
MO,0.0023322166476990036
AMZN,0.0024946436490508317
AMCR,0.005218366539121222
AEE,0.033021836814293604
AAL,0.0008174962292609722
AEP,0.008439258178787212
AXP,0.003644455842830463
AIG,0.002465257184990466
AMT,0.013321340495253575
AWK,0.08157115901571543
AMP,0.06821625229434336
AME,0.09738460469862842
AMGN,0.0033901293538718402
APH,0.05611478887161325
ADI,0.007708336672704208
ANSS,0.22052404079909815
AON,0.052371566748790954
APA,0.0036081234872650247
AAPL,-0.0002671496732760126
AMAT,0.001372080721945279
APTV,0.0326300031779484
ACGL,0.14554027598720332
ADM,0.0060402541127692055
ANET,0.12134005261322933
AJG,0.11686195307783143
AIZ,0.15605655024283904
T,0.0015191757879243761
ATO,0.16497614353417644
ADSK,0.017569899712012615
ADP,0.01369729804820452
AZO,0.27665646154914747
AVB,0.11990959655056344
AVY,0.1254534865703859
AXON,0.18553843719956675
BKR,0.0030281865027628196
BALL,0.04831615560934166
BAC,0.00047499211908463845
BK,0.003600314674140126
BBWI,0.009246825280980864
BAX,0.006518452027933219
BDX,0.04205790736317927
BRK.B,0.04583622357708739
BBY,0.004015793888684116
BIO,0.562012911870394
TECH,0.4434088955737
BIIB,0.03215101200502657
BLK,0.1747297781054814
BX,0.01350726025211424
BA,0.0023744262960766482
BKNG,0.17994281716701643
BWA,0.047607140376467294
BXP,0.0846565256650691
BSX,0.003210604773430381
BMY,0.0023300794503128275
AVGO,0.012634357189304946
BR,0.14672871612373395
BRO,0.10172909802798069
BF.B,0.14579533129230982
BLDR,0.26971482118130163
BG,0.05759860096452274
CDNS,0.03132394838277186
CZR,0.19293427920712236
CPT,0.133597741488803
CPB,0.027693424505936926
COF,0.007683677768809405
CAH,0.010938710521957051
KMX,0.032231608080743324
CCL,0.005560987598912215
CARR,0.009080095162569357
CTLT,0.12013287396292838
CAT,0.0028269778426061043
CBOE,0.16746551775723306
CBRE,0.03328141674598373
CDW,0.14230576730576727
CE,0.08859997845291967
COR,0.03327242320782642
CNC,0.10536628948824556
CNP,0.02068998776581432
CDAY,0.12658308542286445
CF,0.04486011457811889
CHRW,0.037676010669193016
CRL,0.21171930955450513
SCHW,0.002681385700253669
CHTR,0.12302815559873514
CVX,0.0023265258466208527
CMG,0.20941774329547447
CB,0.02263338844710394
CHD,0.1137906177502297
CI,0.028446258420520953
CINF,0.12931940362152206
CTAS,0.15151252100371082
CSCO,0.0008848209798516526
C,0.001562812903019073
CFG,0.007918070870006177
CLX,0.04559290112645886
CME,0.05595540867764193
CMS,0.027631492113772804
KO,0.0017695994357799227
CTSH,0.010913299727395964
CL,0.006303905294204215
CMCSA,0.0014269832325662923
CMA,0.028982328962530945
CAG,0.009003478288746036
COP,0.0025382127936077747
ED,0.016839512505276155
STZ,0.04316818140531409
CEG,0.041300883673765054
COO,0.24877531232708427
CPRT,0.13801735122265713
GLW,0.003147023151190642
CTVA,0.009962311831470672
CSGP,0.3917441131540348
COST,0.007133386853500734
CTRA,0.008531112822958264
CCI,0.027538322620631384
CSX,0.009307118671600945
CMI,0.04442989202442771
CVS,0.003979917660376975
DHR,0.01100496364092951
DRI,0.030803960226756688
DVA,0.08180764154925435
DE,0.011586281329977965
DAL,0.0033630974163799676
XRAY,0.06026469189628181
DVN,0.002922083126292385
DXCM,0.21176029229464344
FANG,0.06471130137914216
DLR,0.09135343367475057
DFS,0.008267571354819703
DG,0.02792094555318736
DLTR,0.015331107908769792
D,0.008756097691292486
DPZ,0.16706044528507547
DOV,0.05180887043775151
DOW,0.0030987273832735474
DHI,0.006529672314210755
DTE,0.05525563552235779
DUK,0.004832143801215993
DD,0.006143344709897636
EMN,0.049476653790052394
ETN,0.010928047955845566
EBAY,0.0012769754382589982
ECL,0.04954664700445066
EIX,0.016089500316255556
EW,0.07182318966023904
EA,0.007623566627125378
ELV,0.031519907534142355
LLY,0.004644664219575656
EMR,0.006157265669664125
ENPH,0.18755440637793575
ETR,0.03336539129412641
EOG,0.005575413681269015
EPAM,0.34400701700602065
EQT,0.02842419093721449
EFX,0.10724296194185756
EQIX,0.19253370093128375
EQR,0.022102895368159015
ESS,0.28352861974449806
EL,0.027017380757743292
ETSY,0.031785130292593
EG,0.265943759650782
EVRG,0.06903975813694607
ES,0.024750797652476342
EXC,0.003983735927890919
EXPE,0.015809391411801044
EXPD,0.0416332016587716
EXR,0.16002105139425415
XOM,0.0015916777533780957
FFIV,0.09712546951555079
FDS,0.2966523709584208
FICO,0.424452438895355
FAST,0.021897724419082998
FRT,0.2076383434583059
FDX,0.01321963443238705
FIS,0.03168283744824496
FITB,0.0025054005823236247
FSLR,0.019872535941900082
FE,0.011721993364002148
FI,0.034278508877383596
FLT,0.21824397824397823
FMC,0.09901795780103761
F,0.0010247861466865515
FTNT,0.0456201967966674
FTV,0.031759049773755654
FOXA,0.005527940019054767
FOX,0.04190907645843267
BEN,0.02105192855349136
FCX,0.0028312522373785676
GRMN,0.06729607129690485
IT,0.20848948231736308
